rok,miasto,nazwa
2020,GDYNIA,Modernizacja placu zabaw przy ul.Płk Dąbka  wraz z  modernizacją ciągów pieszych i budową  miejsc parkingowych dla osób niepełnosprawnych przy placu zabaw  oraz przy Przedszkolu
2020,GDYNIA,Montaż automatycznego zewnętrznego defibrylatora (AED) oraz szkolenia z zakresu resuscytacji krążeniowo-oddechowej z wykorzystaniem AED dla  mieszkańców dzielnicy.
2020,GDYNIA,Warsztaty wspierania procesu edukacji dzieci dla rodziców
2020,GDYNIA,"Zajęcia sportowe (np. dla uczniów, pilates, zumba, ćwiczenia na świeżym powietrzu) i spotkania z ekspertami z zakresu zdrowia i aktywności fizycznej dla mieszkańców w każdym wieku"
2020,GDYNIA,"Cotygodniowe zajęcia sportowe (np. tai chi, zdrowy kręgosłup) dla dorosłych mieszkańców dzielnicy od lutego do grudnia  r. z przerwą wakacyjną"
2020,GDYNIA,Manewry ratownicze dla młodzieży z symulacjami wypadków przy udziale profesjonalnych służb ratowniczych
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Pustki Cisowskie - Demptowo)
2020,GDYNIA,Chodnik łączący Wiczlino Ogród z ul. Wiczlińską
2020,GDYNIA,Modernizacja ogólnodostępnego placu zabaw przy Przedszkolu nr  na ul. Biskupa Dominika 
2020,GDYNIA,"Kurs samoobrony dla kobiet, mężczyzn i młodzieży w plenerze. Zajęcia przy ul. Racławickiej a i Strzelców (siłownia) i Spokojnej (boisko)"
2020,GDYNIA,Organizacja sześciu szkoleń z pierwszej pomocy oraz pikników sportowych dla mieszkańców dzielnicy
2020,GDYNIA,Zajęcia sportowo – rekreacyjne dla seniorów
2020,GDYNIA,Plac zabaw dla dzieci przy skwerze ks. Piotra Mazura
2020,GDYNIA,Poprawa bezpieczeństwa poprzez stworzenie przejścia dla pieszych na trasie Płyta Redłowska – Kościół przy skrzyżowaniu ul. Redłowskiej z ul. Kopernika.
2020,GDYNIA,"Cotygodniowe zajęcia ruchowe poprawiające prawidłowe funkcjonowanie kręgosłupa i innych stawów dla każdego, z przerwą wakacyjną"
